               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013612,           0.0056071,          0.00045707,             0.99411,             0.32786,             0.33735,             0.31391,           0.0088076,           0.0025312,          0.00064489,            0.006634,            0.006634,            0.006634
                  36,            0.013472,           0.0055876,          0.00043521,              0.9937,             0.32771,              0.3381,             0.31687,           0.0085939,           0.0024981,          0.00064735,            0.006535,            0.006535,            0.006535
                  37,            0.013542,           0.0055266,          0.00039275,             0.99482,             0.32583,             0.34597,             0.32264,           0.0086409,           0.0025169,          0.00064878,            0.006436,            0.006436,            0.006436
                  38,            0.013219,           0.0055242,          0.00043779,             0.99319,             0.32769,              0.3395,             0.31789,           0.0085014,           0.0024917,          0.00064233,            0.006337,            0.006337,            0.006337
                  39,            0.013235,           0.0054621,          0.00040748,             0.99482,             0.32719,             0.33591,             0.31462,           0.0084578,           0.0024645,          0.00064213,            0.006238,            0.006238,            0.006238
                  40,            0.013196,           0.0055021,          0.00040702,             0.99426,             0.32802,             0.33461,              0.3141,           0.0083692,           0.0024258,          0.00063578,            0.006139,            0.006139,            0.006139
                  41,            0.013172,           0.0054852,           0.0004769,             0.99375,             0.32819,             0.36048,             0.33971,           0.0084279,           0.0024361,          0.00063352,             0.00604,             0.00604,             0.00604
                  42,            0.013074,           0.0054571,          0.00043075,             0.99461,             0.32802,             0.34489,             0.32389,           0.0082548,           0.0024249,          0.00063209,            0.005941,            0.005941,            0.005941
                  43,             0.01302,           0.0054235,          0.00042026,             0.99372,             0.32819,             0.36947,             0.34965,           0.0082682,           0.0024173,           0.0006296,            0.005842,            0.005842,            0.005842
                  44,            0.012911,           0.0054391,          0.00043367,             0.99341,             0.32948,             0.34252,             0.32339,           0.0081801,           0.0023981,          0.00062581,            0.005743,            0.005743,            0.005743
                  45,            0.012881,            0.005316,          0.00036272,             0.99334,             0.32902,             0.33581,             0.31636,           0.0081741,            0.002384,          0.00062859,            0.005644,            0.005644,            0.005644
                  46,            0.012752,           0.0053838,          0.00039906,             0.99517,             0.32716,             0.33659,             0.31689,           0.0081658,             0.00238,          0.00062746,            0.005545,            0.005545,            0.005545
                  47,            0.012611,           0.0053722,          0.00034809,             0.99534,              0.3276,              0.3361,             0.31738,           0.0080412,           0.0023529,           0.0006191,            0.005446,            0.005446,            0.005446
                  48,            0.012642,           0.0052871,          0.00036441,             0.99598,             0.32719,             0.33854,             0.31893,           0.0080856,           0.0023677,          0.00061599,            0.005347,            0.005347,            0.005347
                  49,            0.012507,           0.0052253,          0.00046782,              0.9942,             0.32826,             0.33744,             0.31915,           0.0080267,           0.0023275,          0.00061156,            0.005248,            0.005248,            0.005248
                  50,            0.012453,           0.0052657,          0.00034639,             0.99453,             0.32848,             0.33683,             0.31892,           0.0079812,           0.0023109,          0.00060891,            0.005149,            0.005149,            0.005149
                  51,            0.012504,           0.0052735,          0.00042323,             0.99564,             0.32802,              0.3395,             0.32166,           0.0079242,           0.0022812,           0.0006043,             0.00505,             0.00505,             0.00505
                  52,            0.012278,             0.00526,          0.00049353,             0.99552,             0.32786,             0.34057,             0.32269,           0.0079076,           0.0022931,           0.0006019,            0.004951,            0.004951,            0.004951
                  53,            0.012332,           0.0051996,          0.00040578,             0.99501,              0.3278,             0.33962,             0.32235,           0.0078566,           0.0023014,          0.00059886,            0.004852,            0.004852,            0.004852
                  54,             0.01231,           0.0051584,           0.0004198,               0.996,             0.32752,             0.33906,             0.32148,           0.0078604,           0.0023018,            0.000598,            0.004753,            0.004753,            0.004753
                  55,            0.012137,           0.0051101,          0.00037663,             0.99521,             0.32703,             0.33971,             0.32239,            0.007866,           0.0023068,          0.00059508,            0.004654,            0.004654,            0.004654
                  56,            0.012071,           0.0051092,          0.00040688,             0.99517,              0.3274,             0.33894,             0.32201,           0.0078115,           0.0022961,          0.00059415,            0.004555,            0.004555,            0.004555
                  57,            0.011986,           0.0051449,          0.00040276,             0.99514,             0.32736,             0.34114,             0.32455,           0.0077583,           0.0022926,          0.00059029,            0.004456,            0.004456,            0.004456
                  58,            0.011965,           0.0051181,          0.00040949,             0.99512,             0.32752,             0.34248,             0.32569,            0.007747,           0.0022877,          0.00058626,            0.004357,            0.004357,            0.004357
                  59,            0.011825,           0.0049836,          0.00037138,             0.99485,             0.32778,             0.34238,              0.3257,           0.0077193,           0.0022851,          0.00058262,            0.004258,            0.004258,            0.004258
                  60,            0.011719,             0.00503,          0.00043356,             0.99565,             0.32686,             0.34195,             0.32579,           0.0077169,            0.002271,          0.00057988,            0.004159,            0.004159,            0.004159
                  61,            0.011733,           0.0050165,          0.00034773,             0.99582,             0.32703,              0.3419,             0.32557,           0.0077315,            0.002264,          0.00057676,             0.00406,             0.00406,             0.00406
                  62,            0.011655,           0.0050067,          0.00034344,             0.99599,             0.32747,             0.34101,             0.32502,           0.0077066,           0.0022539,          0.00057592,            0.003961,            0.003961,            0.003961
                  63,            0.011559,            0.004991,          0.00042854,              0.9955,             0.32752,             0.34081,             0.32499,           0.0076815,           0.0022451,          0.00057578,            0.003862,            0.003862,            0.003862
                  64,            0.011415,           0.0049298,          0.00038467,             0.99505,             0.32802,               0.341,             0.32531,           0.0076547,           0.0022452,           0.0005734,            0.003763,            0.003763,            0.003763
                  65,            0.011351,           0.0048036,          0.00041336,             0.99522,             0.32769,             0.34122,             0.32539,           0.0076553,           0.0022441,          0.00057108,            0.003664,            0.003664,            0.003664
                  66,            0.011487,           0.0048851,          0.00035741,             0.99534,             0.32758,              0.3417,             0.32597,           0.0076335,           0.0022383,          0.00056864,            0.003565,            0.003565,            0.003565
                  67,            0.011311,           0.0048871,          0.00030374,              0.9955,             0.32723,             0.34158,             0.32613,            0.007621,           0.0022366,          0.00056608,            0.003466,            0.003466,            0.003466
                  68,            0.011214,           0.0048611,          0.00033399,             0.99474,             0.32802,             0.34139,             0.32566,            0.007608,            0.002233,          0.00056297,            0.003367,            0.003367,            0.003367
                  69,             0.01115,            0.004791,          0.00044928,             0.99479,             0.32802,              0.3415,             0.32586,           0.0075906,           0.0022312,          0.00056073,            0.003268,            0.003268,            0.003268
                  70,             0.01105,           0.0047417,          0.00032546,             0.99485,             0.32807,             0.34214,             0.32666,           0.0075758,           0.0022301,          0.00055735,            0.003169,            0.003169,            0.003169
                  71,            0.011004,           0.0047699,          0.00033325,             0.99493,             0.32802,             0.34264,             0.32721,           0.0075689,           0.0022292,          0.00055478,             0.00307,             0.00307,             0.00307
                  72,            0.010949,           0.0047617,          0.00035958,             0.99501,             0.32802,             0.34259,             0.32735,           0.0075636,           0.0022292,          0.00055401,            0.002971,            0.002971,            0.002971
                  73,            0.010883,           0.0047371,           0.0003483,             0.99502,             0.32804,             0.34287,             0.32765,           0.0075481,           0.0022297,          0.00055374,            0.002872,            0.002872,            0.002872
                  74,            0.010868,            0.004702,          0.00035454,             0.99505,             0.32802,             0.34278,             0.32759,            0.007544,           0.0022288,           0.0005538,            0.002773,            0.002773,            0.002773
                  75,            0.010688,           0.0046517,          0.00037759,             0.99514,             0.32802,              0.3428,              0.3277,           0.0075381,           0.0022277,          0.00055197,            0.002674,            0.002674,            0.002674
                  76,            0.010661,           0.0047307,          0.00033744,             0.99453,              0.3284,             0.34269,             0.32767,           0.0075304,           0.0022263,           0.0005505,            0.002575,            0.002575,            0.002575
                  77,            0.010655,           0.0046486,          0.00039195,             0.99518,             0.32794,             0.34289,             0.32803,           0.0075209,           0.0022255,          0.00054848,            0.002476,            0.002476,            0.002476
                  78,            0.010604,           0.0046482,          0.00038591,             0.99518,             0.32792,             0.34266,             0.32782,           0.0075183,            0.002225,          0.00054724,            0.002377,            0.002377,            0.002377
                  79,            0.010451,           0.0045992,          0.00039765,             0.99517,             0.32776,             0.34304,             0.32815,           0.0075142,           0.0022229,          0.00054594,            0.002278,            0.002278,            0.002278
                  80,            0.010472,           0.0046173,          0.00035479,             0.99518,             0.32779,             0.34303,              0.3282,           0.0075079,           0.0022209,          0.00054388,            0.002179,            0.002179,            0.002179
