x=42, y=26, w=167, h=453, t=183554560.5839
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=187, y=18, w=188, h=456, t=183555193.9173
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=187, y=18, w=188, h=456, t=183555193.9173
x=212, y=11, w=200, h=465, t=183555327.2506
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=187, y=18, w=188, h=456, t=183555193.9173
x=212, y=11, w=200, h=465, t=183555327.2506
x=240, y=16, w=206, h=459, t=183555460.5839
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=187, y=18, w=188, h=456, t=183555193.9173
x=212, y=11, w=200, h=465, t=183555327.2506
x=240, y=16, w=206, h=459, t=183555460.5839
x=279, y=32, w=209, h=445, t=183555693.9173
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=187, y=18, w=188, h=456, t=183555193.9173
x=212, y=11, w=200, h=465, t=183555327.2506
x=240, y=16, w=206, h=459, t=183555460.5839
x=279, y=32, w=209, h=445, t=183555693.9173
x=299, y=40, w=215, h=438, t=183555827.2506
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=187, y=18, w=188, h=456, t=183555193.9173
x=212, y=11, w=200, h=465, t=183555327.2506
x=240, y=16, w=206, h=459, t=183555460.5839
x=279, y=32, w=209, h=445, t=183555693.9173
x=299, y=40, w=215, h=438, t=183555827.2506
x=302, y=46, w=221, h=433, t=183555960.5839
x=42, y=26, w=167, h=453, t=183554560.5839
x=82, y=27, w=169, h=452, t=183554693.9173
x=120, y=28, w=172, h=451, t=183554827.2506
x=163, y=23, w=179, h=453, t=183555060.5839
x=187, y=18, w=188, h=456, t=183555193.9173
x=212, y=11, w=200, h=465, t=183555327.2506
x=240, y=16, w=206, h=459, t=183555460.5839
x=279, y=32, w=209, h=445, t=183555693.9173
x=299, y=40, w=215, h=438, t=183555827.2506
x=302, y=46, w=221, h=433, t=183555960.5839
x=293, y=51, w=227, h=428, t=183556093.9173
