x=192, y=95, w=447, h=383, t=183527927.2506
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=185, y=91, w=450, h=386, t=183528427.2506
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=185, y=91, w=450, h=386, t=183528427.2506
x=180, y=86, w=455, h=391, t=183528560.5839
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=185, y=91, w=450, h=386, t=183528427.2506
x=180, y=86, w=455, h=391, t=183528560.5839
x=183, y=86, w=454, h=390, t=183528793.9173
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=185, y=91, w=450, h=386, t=183528427.2506
x=180, y=86, w=455, h=391, t=183528560.5839
x=183, y=86, w=454, h=390, t=183528793.9173
x=183, y=85, w=455, h=391, t=183528927.2506
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=185, y=91, w=450, h=386, t=183528427.2506
x=180, y=86, w=455, h=391, t=183528560.5839
x=183, y=86, w=454, h=390, t=183528793.9173
x=183, y=85, w=455, h=391, t=183528927.2506
x=174, y=78, w=465, h=399, t=183529060.5839
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=185, y=91, w=450, h=386, t=183528427.2506
x=180, y=86, w=455, h=391, t=183528560.5839
x=183, y=86, w=454, h=390, t=183528793.9173
x=183, y=85, w=455, h=391, t=183528927.2506
x=174, y=78, w=465, h=399, t=183529060.5839
x=129, y=49, w=499, h=429, t=183529293.9173
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
x=186, y=92, w=450, h=385, t=183528293.9173
x=185, y=91, w=450, h=386, t=183528427.2506
x=180, y=86, w=455, h=391, t=183528560.5839
x=183, y=86, w=454, h=390, t=183528793.9173
x=183, y=85, w=455, h=391, t=183528927.2506
x=174, y=78, w=465, h=399, t=183529060.5839
x=129, y=49, w=499, h=429, t=183529293.9173
x=79, y=14, w=539, h=464, t=183529427.2506
x=192, y=95, w=447, h=383, t=183527927.2506
x=184, y=88, w=453, h=389, t=183528160.5839
