x=21, y=6, w=109, h=473, t=183532327.2506
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=206, y=46, w=145, h=433, t=183533460.5839
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=206, y=46, w=145, h=433, t=183533460.5839
x=204, y=52, w=153, h=426, t=183533593.9173
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=206, y=46, w=145, h=433, t=183533460.5839
x=204, y=52, w=153, h=426, t=183533593.9173
x=198, y=55, w=163, h=423, t=183533727.2506
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=206, y=46, w=145, h=433, t=183533460.5839
x=204, y=52, w=153, h=426, t=183533593.9173
x=198, y=55, w=163, h=423, t=183533727.2506
x=188, y=57, w=171, h=421, t=183533860.5839
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=206, y=46, w=145, h=433, t=183533460.5839
x=204, y=52, w=153, h=426, t=183533593.9173
x=198, y=55, w=163, h=423, t=183533727.2506
x=188, y=57, w=171, h=421, t=183533860.5839
x=176, y=58, w=181, h=420, t=183534093.9173
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=206, y=46, w=145, h=433, t=183533460.5839
x=204, y=52, w=153, h=426, t=183533593.9173
x=198, y=55, w=163, h=423, t=183533727.2506
x=188, y=57, w=171, h=421, t=183533860.5839
x=176, y=58, w=181, h=420, t=183534093.9173
x=165, y=58, w=189, h=421, t=183534227.2506
x=21, y=6, w=109, h=473, t=183532327.2506
x=51, y=20, w=106, h=459, t=183532460.5839
x=82, y=30, w=107, h=448, t=183532593.9173
x=131, y=35, w=111, h=442, t=183532827.2506
x=164, y=32, w=120, h=447, t=183532960.5839
x=174, y=32, w=129, h=447, t=183533093.9173
x=189, y=35, w=138, h=444, t=183533227.2506
x=206, y=46, w=145, h=433, t=183533460.5839
x=204, y=52, w=153, h=426, t=183533593.9173
x=198, y=55, w=163, h=423, t=183533727.2506
x=188, y=57, w=171, h=421, t=183533860.5839
x=176, y=58, w=181, h=420, t=183534093.9173
