x=38, y=0, w=270, h=477, t=183551760.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=422, y=69, w=231, h=410, t=183553427.2506
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=422, y=69, w=231, h=410, t=183553427.2506
x=437, y=78, w=215, h=401, t=183553660.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=422, y=69, w=231, h=410, t=183553427.2506
x=437, y=78, w=215, h=401, t=183553660.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=422, y=69, w=231, h=410, t=183553427.2506
x=437, y=78, w=215, h=401, t=183553660.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=422, y=69, w=231, h=410, t=183553427.2506
x=437, y=78, w=215, h=401, t=183553660.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=422, y=69, w=231, h=410, t=183553427.2506
x=437, y=78, w=215, h=401, t=183553660.5839
x=38, y=0, w=270, h=477, t=183551760.5839
x=76, y=1, w=269, h=476, t=183551893.9173
x=138, y=7, w=268, h=472, t=183552027.2506
x=207, y=25, w=258, h=452, t=183552160.5839
x=281, y=49, w=248, h=429, t=183552393.9173
x=321, y=57, w=245, h=421, t=183552527.2506
x=359, y=63, w=243, h=415, t=183552660.5839
x=393, y=62, w=248, h=417, t=183552893.9173
x=404, y=61, w=248, h=418, t=183553027.2506
x=410, y=64, w=245, h=414, t=183553160.5839
x=416, y=67, w=238, h=410, t=183553293.9173
x=422, y=69, w=231, h=410, t=183553427.2506
x=437, y=78, w=215, h=401, t=183553660.5839
